"company_name","company_display_name","industry","total_reviews","company_overall_rating","company_work_life_balance","company_salary_benefits","company_job_security","company_company_culture","company_skill_development","company_work_satisfaction","company_promotions_appraisal","review_title","overall_rating","review_date","designation","employment_type","employee_status","work_location","likes","dislikes","additional_comments","sub_work_life_balance","sub_salary_benefits","sub_job_security","sub_company_culture","sub_skill_development","sub_work_satisfaction","sub_promotions_appraisal","source_page","source_url"
"JSW Steel","Jsw Steel","Financial Services","7.8k","3.9","3.1","3.4","4.2","3.0","3.3","3.1","2.8","Operations, Maintenance & Support","3.0","13/03/2026","Deputy Manager","Permanent","Current Employee","Mumbai","Mumbai location","Salary and culture","Rotational Shift ( Strict Timings ) , This job involves Travel Within Country .","1.0","4.0","4.0","1.0","3.0","1.0","1.0","2","https://www.ambitionbox.com/reviews/jsw steel-reviews?page=2"
"JSW Steel","Jsw Steel","Financial Services","7.8k","3.9","3.1","3.4","4.2","3.0","3.3","3.1","2.8","Electric Maintenance","5.0","13/03/2026","Electrician","Permanent","Current Employee","Thane","","","Rotational Shift ( Flexible Timings ) ,","5.0","5.0","4.0","5.0","5.0","5.0","4.0","2","https://www.ambitionbox.com/reviews/jsw steel-reviews?page=2"
"JSW Steel","Jsw Steel","Financial Services","7.8k","3.9","3.1","3.4","4.2","3.0","3.3","3.1","2.8","Mining","2.0","12/03/2026","Assistant Manager","Permanent","Current Employee","Ballari","Only colony","Work culture","Monday to Friday ( Flexible Timings ) , This is a desk job.","3.0","2.0","4.0","1.0","3.0","2.0","2.0","2","https://www.ambitionbox.com/reviews/jsw steel-reviews?page=2"
"JSW Steel","Jsw Steel","Financial Services","7.8k","3.9","3.1","3.4","4.2","3.0","3.3","3.1","2.8","Engineering","2.0","11/03/2026","Senior Engineer","Permanent","Current Employee","Ballari","Salary will credit on time","","","2.0","1.0","2.0","1.0","1.0","2.0","1.0","2","https://www.ambitionbox.com/reviews/jsw steel-reviews?page=2"
"JSW Steel","Jsw Steel","Financial Services","7.8k","3.9","3.1","3.4","4.2","3.0","3.3","3.1","2.8","Life Insurance","5.0","11/03/2026","Operator","Permanent","Current Employee","Barbil","","","2 days/week from office , Rotational Shift ( Flexible Timings ) ,","5.0","5.0","5.0","5.0","5.0","5.0","5.0","2","https://www.ambitionbox.com/reviews/jsw steel-reviews?page=2"
"JSW Steel","Jsw Steel","Financial Services","7.8k","3.9","3.1","3.4","4.2","3.0","3.3","3.1","2.8","Operations, Maintenance & Support","4.0","11/03/2026","Senior Engineer","Permanent","Current Employee","Ballari","","I would like","Flexible Timings , This job involves Travel Within City .","4.0","4.0","4.0","5.0","4.0","4.0","4.0","2","https://www.ambitionbox.com/reviews/jsw steel-reviews?page=2"
"JSW Steel","Jsw Steel","Financial Services","7.8k","3.9","3.1","3.4","4.2","3.0","3.3","3.1","2.8","Production","5.0","11/03/2026","SRF Engineer","Permanent","Current Employee","Bengaluru","","","","5.0","5.0","5.0","5.0","5.0","5.0","5.0","2","https://www.ambitionbox.com/reviews/jsw steel-reviews?page=2"
"JSW Steel","Jsw Steel","Financial Services","7.8k","3.9","3.1","3.4","4.2","3.0","3.3","3.1","2.8","Hardware","4.0","11/03/2026","Desktop Support Manager","Permanent","Current Employee","New Delhi","Safety regulations","Downflow management","Monday to Saturday ( Flexible Timings ) , This is a desk job.","4.0","3.0","3.0","4.0","3.0","3.0","3.0","2","https://www.ambitionbox.com/reviews/jsw steel-reviews?page=2"
"JSW Steel","Jsw Steel","Financial Services","7.8k","3.9","3.1","3.4","4.2","3.0","3.3","3.1","2.8","Stores & Material Management","5.0","09/03/2026","Store Dispatch Assistant","Permanent","Current Employee","Mumbai","","","Monday to Saturday ( Flexible Timings ) ,","5.0","4.0","5.0","5.0","5.0","4.0","5.0","2","https://www.ambitionbox.com/reviews/jsw steel-reviews?page=2"
"JSW Steel","Jsw Steel","Financial Services","7.8k","3.9","3.1","3.4","4.2","3.0","3.3","3.1","2.8","Production & Manufacturing","5.0","09/03/2026","Operator (working remotely)","Permanent","Current Employee","","","","Rotational Shift ( Strict Timings ) , This job involves Travel Within City .","5.0","2.0","5.0","5.0","5.0","5.0","5.0","2","https://www.ambitionbox.com/reviews/jsw steel-reviews?page=2"
"JSW Steel","Jsw Steel","Financial Services","7.8k","3.9","3.1","3.4","4.2","3.0","3.3","3.1","2.8","Operations, Maintenance & Support","1.0","09/03/2026","Assistant Manager","Permanent","Current Employee","Ballari","","Everything","Monday to Saturday ( Strict Timings ) , This is a desk job.","1.0","1.0","3.0","1.0","1.0","1.0","1.0","2","https://www.ambitionbox.com/reviews/jsw steel-reviews?page=2"
